WikidataOrg,Organisation,WikidataTalare,TalareString,Title,Start,WikidataSubject,GITHUB,Datum,Agenda,Slides,Url video av presentationen
https://www.wikidata.org/wiki/Q67205143,Italian Digital Transformation (It),https://www.wikidata.org/wiki/Q105728757,Leonardo Favario,Öppen programvara i andra länder,,Q39162,,,,,https://youtu.be/UvtX4e_qRWY
https://www.wikidata.org/wiki/Q106999969,Iteam,https://www.wikidata.org/wiki/Q106767147,Christian Landgren,Svenska städers behov av digital infrastruktur,01:10:00,Q1047251,,2022-04-05,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-5/,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
https://www.wikidata.org/wiki/Q104614436,Jobtech Development,,,Samverkan öppna data inom Offentlig verksamhet,,Q309901,,,,,https://www.youtube.com/watch?v=-agLPUX5i9Q
https://www.wikidata.org/wiki/Q845497,Lantmäteriet,,Johan Stang,API-Profil och Playbook,30:00:00,,,2021-10-21,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-2/,,https://www.youtube-nocookie.com/embed/CpaSiEjjqwU/
https://www.wikidata.org/wiki/Q845497,Lantmäteriet,,,Utfrågning - Öppna datautredningen,,"Q309901,Q114351527",,,,,https://www.youtube-nocookie.com/embed/CpaSiEjjqwU/
https://www.wikidata.org/wiki/Q499410,Linköpings kommun,,,Svenska städers behov av digital infrastruktur,,Q1047251,,,,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
https://www.wikidata.org/wiki/Q858851,Linux Foundation,,,[Internetdagarna - inspelning kommer],,,,,,,
https://www.wikidata.org/wiki/Q114244622,Logistikdatalabbet,,,Öppna data för ett hållbart godstransportsystem,,Q309901,,,,,https://data.jobtechdev.se/videos/nosad-20220405-oppna-data-hallbart-godtransportsystem-3000x2000.mp4
https://www.wikidata.org/wiki/Q218506,Lunds universitet,,,Communityhälsa och säkerhet vid val av öppen källkod,,Q39162,,,,,https://data.jobtechdev.se/videos/nosad-20220301-halsa-sakerhet-oppen-programvara-2560x1440.mp4
https://www.wikidata.org/wiki/Q218506,Lunds universitet,,,Svenska städers behov av digital infrastruktur,,Q1047251,,,,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
https://www.wikidata.org/wiki/Q218506,Lunds universitet,,,[Internetdagarna - inspelning kommer],,,,,,,
https://www.wikidata.org/wiki/Q218506,Lunds universitet,https://www.wikidata.org/wiki/Q6083671,Per Runesson,Öppen källkod som bas i den digitala allemansrätten,34:00:00,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q218506,Lunds universitet,,,Introduktion till öppen programvara,,Q39162,,,,,https://www.youtube.com/watch?v=jxxiqFyZhDU
https://www.wikidata.org/wiki/Q30295726,Metasolutions,,Eric Hjelmestam,Metasolutions Förvaltning öppna data,01:04:00,Q309901,,,,,https://data.jobtechdev.se/videos/nosad-20201103-forvaltning-och-ansvar-3440x1440.mp4
https://www.wikidata.org/wiki/Q30295726,Metasolutions,,Mattias Axell,Offentlighetsprincipen,01:17:00,Q10607870,,,,,https://data.jobtechdev.se/videos/nosad-20210615-offentlighetsprincipen-2736x1744.mp4
https://www.wikidata.org/wiki/Q105636875,Nationell Skalning Öppna Data (NSÖD),,,Offentlighetsprincipen,,Q10607870,,,,,https://data.jobtechdev.se/videos/nosad-20210615-offentlighetsprincipen-2736x1744.mp4
https://www.wikidata.org/wiki/Q105636875,Nationell Skalning Öppna Data (NSÖD),,Peter Mankenskiöld,Förvaltning öppna data,01:15:00,Q309901,,,,,https://data.jobtechdev.se/videos/nosad-20201103-forvaltning-och-ansvar-3440x1440.mp4
https://www.wikidata.org/wiki/Q2976522,Naturvårdsverket,,Ulrika Domellöf Mattsson;Piotr Borowiec,API praktiken Jypiter notebook och Open API Swagger,28:00:00,"Q70357595, Q7095934, Q39069667",https://github.com/greentechdev,,,,https://www.youtube-nocookie.com/embed/sfWWPpTysjk
,ODIN,,,Svenska städers behov av digital infrastruktur,,Q1047251,,,,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
https://www.wikidata.org/wiki/Q7095791,OpenForum Europe,,,[Internetdagarna - inspelning kommer],,,,,,,
https://www.wikidata.org/wiki/Q114244678,OpenHack,,Lukas Leander,Hackathons och innovationstävlingar,30:30:00,,,,,,https://data.jobtechdev.se/videos/nosad-20201208-hackathons-1920x1080.mp4
https://www.wikidata.org/wiki/Q105080627,Open Knowledge Sweden,,,Offentlighetsprincipen,,Q10607870,,,,,https://data.jobtechdev.se/videos/nosad-20210615-offentlighetsprincipen-2736x1744.mp4
https://www.wikidata.org/wiki/Q105080627,Open Knowledge Sweden,,,Utfrågning - Öppna datautredningen,,"Q309901,Q114351527",,,,,https://www.youtube.com/watch?v=63l3-_WC7jc
https://www.wikidata.org/wiki/Q109860828,Open Mobility Foundation,https://www.wikidata.org/wiki/Q55433021,Jascha Franklin-Hodge,Svenska städers behov av digital infrastruktur,05:20,Q1047251,,,,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
https://www.wikidata.org/wiki/Q104864750,OpenUK,,,Internetdagarna - inspelning kommer,,,,,,,
https://www.wikidata.org/wiki/Q48801425,OpenUP,https://www.wikidata.org/wiki/Q64140775,Alina Östling,Offentlighetsprincipen,26:30:00,Q10607870,,,,,https://data.jobtechdev.se/videos/nosad-20210615-offentlighetsprincipen-2736x1744.mp4
https://www.wikidata.org/wiki/Q56302089,DIGG (Myndigheten för Digitalisering),https://www.wikidata.org/wiki/Q105171239,Kristina Ulander,Offentlighetsprincipen,44:20:00,Q10607870,,,,,https://data.jobtechdev.se/videos/nosad-20210615-offentlighetsprincipen-2736x1744.mp4
https://www.wikidata.org/wiki/Q105728823,OS2,https://www.wikidata.org/wiki/Q105728780,Rasmus Frey,Öppen programvara i andra länder,,Q39162,,,,,https://youtu.be/UvtX4e_qRWY
https://www.wikidata.org/wiki/Q8901192,Pôle Emploi,,,[Internetdagarna - inspelning kommer],,,,,,,
https://www.wikidata.org/wiki/Q114245245,Public Money Public Code,https://www.wikidata.org/wiki/Q107407054,Mirko Boehm,Öppen källkod som bas i den digitala allemansrätten,07:00,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q10621662,PRV,,Charlott Galant,Öppna licenser och immaterialrätt,19:00,Q196294,,4 maj 2021,https://nosad.se/workshops#%C3%B6ppna-licenser-och-immaterialr%C3%A4tt,,https://www.youtube.com/watch?v=by_h0dWljqY
https://www.wikidata.org/wiki/Q114245264,Predictive Movment,,,Öppna data för ett hållbart godstransportsystem,,Q309901,,,,,https://data.jobtechdev.se/videos/nosad-20220405-oppna-data-hallbart-godtransportsystem-3000x2000.mp4
https://www.wikidata.org/wiki/Q10650489,Regeringskansliet,https://www.wikidata.org/wiki/Q114314827,Magnus Enzell,Nationella datastrategin och EU:s dataområden,04:00,,,2022-05-03,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-6/,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q114245298,Redbridge,,,Öppen källkod som bas i den digitala allemansrätten,,"Q39162, Q114350971",,,,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q485593,Redhat,https://www.wikidata.org/wiki/Q114313402,Brian Proffitt,Öppen källkod som bas i den digitala allemansrätten,02:27:00,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q114289184,Riksdagens digitaliseringsnätverk,,,Utfrågning - Öppna datautredningen,,"Q309901,Q114351527",,,,,https://www.youtube.com/watch?v=63l3-_WC7jc
